"Freq_Phrases"	"Support"
"100"	"121"
"able"	"402"
"absolutely"	"392"
"across"	"261"
"actual"	"98"
"actually"	"570"
"add"	"204"
"added"	"163"
"addition"	"112"
"afternoon"	"191"
"ago"	"314"
"ahead"	"127"
"almost"	"436"
"alone"	"129"
"along"	"193"
"already"	"241"
"also"	"1985"
"although"	"356"
"always"	"1475"
"amazing"	"839"
"ambiance"	"148"
"american"	"125"
"amount"	"286"
"animal"	"71"
"another"	"756"
"anyone"	"277"
"anything"	"582"
"anyway"	"176"
"anywhere"	"207"
"apartment"	"65"
"apparently"	"131"
"appetizer"	"466"
"apple"	"125"
"appointment"	"162"
"appreciate"	"125"
"area"	"867"
"aren"	"221"
"around"	"1005"
"arrived"	"261"
"art"	"148"
"asian"	"87"
"ask"	"450"
"asked"	"620"
"asking"	"130"
"ate"	"264"
"atmosphere"	"625"
"attention"	"114"
"attentive"	"238"
"attitude"	"108"
"authentic"	"158"
"available"	"228"
"average"	"297"
"avoid"	"123"
"away"	"617"
"awesome"	"638"
"awful"	"148"
"back"	"2194"
"bacon"	"197"
"bad"	"845"
"bag"	"137"
"bagel"	"46"
"baked"	"137"
"bakery"	"122"
"ball"	"87"
"banana"	"94"
"bar"	"1211"
"barely"	"100"
"bartender"	"294"
"based"	"202"
"basic"	"113"
"basically"	"156"
"bathroom"	"178"
"bbq"	"95"
"bean"	"253"
"beat"	"149"
"beautiful"	"299"
"become"	"100"
"bed"	"140"
"beef"	"257"
"beer"	"897"
"behind"	"197"
"believe"	"278"
"best"	"1721"
"better"	"1194"
"beyond"	"120"
"big"	"738"
"bike"	"84"
"bill"	"214"
"birthday"	"195"
"bit"	"831"
"bite"	"250"
"black"	"158"
"bland"	"202"
"block"	"138"
"blue"	"149"
"book"	"150"
"booth"	"98"
"bottle"	"237"
"bottom"	"172"
"bought"	"195"
"bowl"	"149"
"box"	"147"
"boy"	"96"
"boyfriend"	"184"
"brand"	"92"
"bread"	"724"
"break"	"99"
"breakfast"	"431"
"brew"	"94"
"bring"	"342"
"bros"	"78"
"brother"	"81"
"brought"	"287"
"brown"	"113"
"brunch"	"200"
"buck"	"146"
"buffalo"	"127"
"buffet"	"150"
"building"	"199"
"bunch"	"99"
"burger"	"322"
"burgh"	"176"
"burrito"	"129"
"bus"	"92"
"business"	"438"
"busy"	"458"
"butter"	"225"
"buy"	"320"
"cafe"	"139"
"cake"	"318"
"calamari"	"95"
"call"	"336"
"called"	"401"
"came"	"1039"
"cannot"	"156"
"car"	"360"
"card"	"217"
"care"	"368"
"carry"	"109"
"casbah"	"133"
"case"	"183"
"cash"	"214"
"cat"	"68"
"cave"	"99"
"center"	"180"
"certain"	"100"
"certainly"	"183"
"chain"	"218"
"chair"	"144"
"chance"	"156"
"change"	"251"
"changed"	"126"
"charge"	"178"
"charged"	"86"
"cheap"	"421"
"cheaper"	"112"
"check"	"576"
"checked"	"119"
"cheese"	"1167"
"chef"	"173"
"chicago"	"95"
"chicken"	"712"
"child"	"148"
"chili"	"99"
"chinese"	"132"
"chip"	"200"
"chocolate"	"322"
"choice"	"430"
"choose"	"187"
"chop"	"93"
"chose"	"118"
"city"	"471"
"clam"	"73"
"class"	"113"
"classic"	"112"
"clean"	"427"
"clear"	"95"
"clearly"	"119"
"close"	"386"
"closed"	"176"
"clothes"	"70"
"club"	"102"
"cocktail"	"151"
"coffee"	"551"
"cold"	"415"
"cole"	"92"
"coleslaw"	"131"
"color"	"138"
"come"	"1324"
"comfortable"	"200"
"coming"	"417"
"comment"	"101"
"company"	"142"
"compared"	"104"
"complain"	"108"
"complaint"	"210"
"completely"	"212"
"considering"	"136"
"convenient"	"138"
"convention"	"65"
"conversation"	"116"
"cook"	"178"
"cooked"	"391"
"cooking"	"105"
"cooky"	"115"
"cool"	"328"
"corner"	"131"
"cost"	"237"
"could"	"1321"
"couldn"	"343"
"counter"	"286"
"couple"	"449"
"coupon"	"81"
"course"	"330"
"covered"	"147"
"crab"	"174"
"craft"	"87"
"craving"	"104"
"crazy"	"157"
"cream"	"404"
"creamy"	"111"
"credit"	"107"
"crispy"	"186"
"crowd"	"212"
"crowded"	"247"
"crust"	"230"
"cup"	"191"
"customer"	"558"
"cut"	"412"
"cute"	"114"
"dad"	"79"
"damn"	"95"
"dark"	"144"
"date"	"160"
"daughter"	"95"
"day"	"1274"
"deal"	"345"
"decent"	"483"
"decided"	"458"
"decor"	"251"
"deep"	"97"
"definitely"	"1098"
"deli"	"118"
"delicious"	"1128"
"delivered"	"121"
"delivery"	"172"
"desk"	"123"
"despite"	"142"
"dessert"	"411"
"didn"	"1184"
"die"	"127"
"different"	"627"
"difficult"	"108"
"diner"	"243"
"dining"	"342"
"dinner"	"773"
"dip"	"124"
"dirty"	"156"
"disappointed"	"411"
"disappointing"	"128"
"dish"	"592"
"district"	"233"
"dive"	"114"
"doe"	"391"
"doesn"	"390"
"dog"	"326"
"dollar"	"147"
"done"	"476"
"donut"	"56"
"door"	"414"
"dor"	"80"
"double"	"125"
"downtown"	"357"
"draft"	"118"
"dress"	"62"
"dressing"	"174"
"drink"	"999"
"drive"	"242"
"dry"	"265"
"due"	"205"
"eagle"	"126"
"early"	"274"
"easily"	"171"
"east"	"133"
"easy"	"256"
"eat"	"1011"
"eaten"	"247"
"eating"	"416"
"egg"	"300"
"either"	"386"
"else"	"555"
"elsewhere"	"124"
"employee"	"247"
"empty"	"191"
"end"	"495"
"ended"	"268"
"enjoy"	"465"
"enjoyed"	"410"
"enough"	"701"
"entire"	"233"
"entree"	"345"
"especially"	"430"
"espresso"	"117"
"establishment"	"165"
"etc"	"277"
"even"	"1667"
"evening"	"248"
"event"	"187"
"ever"	"1045"
"every"	"872"
"everyone"	"509"
"everything"	"837"
"exactly"	"222"
"excellent"	"571"
"except"	"108"
"excited"	"149"
"expect"	"329"
"expectation"	"115"
"expected"	"224"
"expecting"	"118"
"expensive"	"314"
"experience"	"1072"
"extra"	"298"
"extremely"	"342"
